year,title,movie_id,tagline,runtime,budget,revenue,overview
1928,The Last Command,52679,,88,0,0,A former Imperial Russian general and cousin of the Czar ends up in Hollywood as an extra in a movie directed by a former revolutionary.
1927,7th Heaven,82474,,110,119,0,A dejected Parisian sewer worker feels his prayers have been answered when he falls in love with a street waif.
1927,The Dove,79760,,90,0,0,"Norma Talmadge plays a Mexican saloon singer, known as 'The Dove.' She is romanced by a young caballero and menaced by a Villa-like brute of a dictator, played by Noah Beery."
1927,Sunrise,631,"""An artistic masterpiece and also a joy to watch.""",94,0,0,"A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife."
1927,Two Arabian Knights,102384,,92,0,0,"During World War I, two American soldiers fight to escape the Germans while squabbling over a beautiful harem girl."
1927,Wings,28966,"Youth, hitting the clouds! Laughing at danger! Fighting, loving, dodging death! That's ""WINGS""",144,2000000,3600000,"Two young men, one rich, one middle class, both in love with the same woman, become US Air Corps fighter pilots and, eventually, heroic flying aces during World War I. Devoted best friends, their mutual love of the girl eventually threatens their bond. Meanwhile, a hometown girl who's the lovestruck lifelong next door neighbor of one of them pines away."
1927,Underworld,42565,'Nobody helps me -- I help them!',87,0,0,"Boisterous gangster kingpin Bull Weed rehabilitates his former lawyer from his alcoholic haze, but complications arise when he falls for Weed's girlfriend."
1927,Durgesh Nandini,945878,,0,0,0,
1928,In Old Arizona,83989,The first all-talking sound-on-film feature.,95,0,0,"Army Sergeant Mickey Dunn sets out in pursuit of the Cisco Kid, a notorious if kind-hearted and charismatic bandit of the Old West. The Kid spends much of his loot on Tonia, the woman he loves, not realizing that she is being unfaithful to him in his absence. Soon, with her oblivious paramour off plying his trade, Tonia falls in with Dunn, drawn by the allure of a substantial reward for the Kid's capture -- dead or alive. Together, they concoct a plan to ambush and do away with the Cisco Kid once and for all."
1929,Coquette,85507,100% talking picture,76,0,0,A Southern belle's flirtation with a working man leads to tragedy.
