movie_id,actor_id,character
52679,2895,Gen. Dolgorucki / Grand Duke Sergius Alexander
52679,86827,Natalie Dabrova
52679,32428,Lev Andreyev
52679,1062654,Assistant director
52679,227892,The adjutant
52679,120755,Serge (the valet)
52679,13821,A revolutionist
82474,9088,Diane
82474,1231648,Chico
82474,1104843,Boul
82474,76381,Gobin
82474,148441,Madame Gobin
82474,98040,Nana
82474,13346,Father Chevillon
79760,587953,Dolores
79760,128324,Don José María y Sandoval
79760,29273,Johnny Powell
79760,144021,Billy
79760,13854,Mike
79760,1173024,Gómez
79760,1187901,The Patriot
631,9087,The Man (Anses)
631,9088,The Wife (Indre)
631,9089,The Woman from the City
631,9090,The Maid
631,9091,The Photographer
631,9092,The Barber
631,9093,The Manicure Girl
102384,130491,Daingerfield Phelps
102384,13992,Mirza
102384,2010,Peter O'Gaffney
102384,84230,Shevket
102384,1173024,Emir
102384,120755,Skipper
102384,2922,Purser
28966,102499,Mary Preston
28966,102500,Jack Powell
28966,29760,David Armstrong
28966,102501,Sylvia Lewis
28966,102502,Herman Schwimpf
28966,14290,Air Commander
28966,4068,Cadet White
42565,13555,Bull Weed
42565,86827,Feathers McCoy
42565,13340,Rolls Royce Wensel
42565,128198,Buck Mulligan
42565,128199,"Meg, Mulligan's Girl"
42565,128200,Slippy Lewis
42565,96057,Paloma
945878,3452460,Osman
945878,13762,
945878,3452471,
945878,3452472,
945878,3307762,
945878,1690382,
945878,2727926,
83989,29999,The Cisco Kid
83989,99749,Sergeant Mickey Dunn
83989,103014,Tonia Maria
83989,95725,Barber (uncredited)
83989,1170218,Soldier (uncredited)
83989,1170219,Bartender (uncredited)
83989,63383,Man Chasing Cisco (uncredited)
85507,100047,Norma Besant
85507,100253,Michael Jeffery
85507,61101,Stanley Wentworth
85507,14487,Dr. John M. Besant
85507,96068,Jimmy Besant
85507,80236,Jasper Carter
85507,13823,Robert Wentworth
173582,590617,Camila (La Perichole)
173582,98034,Uncle Pio
173582,30015,Pepita
173582,85426,Manuel
173582,144387,Esteban
173582,8830,Father Juniper
173582,1173024,Viceroy
53161,90074,Dr. Matthew Lloyd
53161,30015,Fayaway
53161,1374201,Sebastian
53161,1770048,Lucy
53161,1770049,Native Boy
53161,1150933,Girl
104214,1054643,Lady Emma Hart Hamilton
104214,117735,Horatio Nelson
104214,33278,Sir William Hamilton
104214,84230,Honorable Charles Greville
104214,89610,Mrs. Hart
104214,92907,Capt. Hardy
104214,1107855,Romney
65203,1516030,Eddie Kearns
65203,98012,Queenie Mahoney
65203,29258,Hank Mahoney
65203,2449175,Chorus Dancer (uncredited)
65203,1690018,Babe Hatrick (uncredited)
65203,1147360,Pianist (uncredited)
65203,2461091,Singer (uncredited)
83990,2895,Czar Paul I
83990,930621,Countess Ostermann
83990,29259,Count Pahlen
83990,930622,Mademoiselle Lapoukhine
83990,27733,Crown Prince Alexander
83990,98052,Stefan
84274,124309,Benjamin Disraeli
84274,21878,Mrs. Agatha Travers
84274,32139,Lord Michael Probert
84274,7639,Lady Clarissa Pevensey
84274,921146,Lady Mary Beaconsfield
84274,96758,Lord Charles Deeford
84274,120755,Count Borsinov
80708,88867,Jerry
80708,34754,Ted
80708,141600,Paul
80708,19406,Don
80708,279042,Helen
80708,1021686,Mary
80708,124855,Bill
108213,1238762,Paul Whiteman
108213,29815,Vocalist ('Song of the Dawn' / 'It Happened in Monterey')
108213,43843,"Editor ('Ladies of the Press') / Stenographer ('In Conference') / Quartet Member, 'Nellie'"
108213,1188450,Vocalist ('It Happened in Monterey' / 'Bridal Veil' / 'A Bench in the Park')
108213,80647,Executive ('In Conference') / Unmarried Husband
108213,1158257,General ('All Noisy on the Eastern Front') / Goldfish Owner ('Oh! Forevermore!') / Unmarried Couple's Offspring / Vocal ('Do Things For You')
108213,2016,Automobile Owner ('Springtime') / Rear End of Horse / Charles
101383,1027222,Himself - Narrator
101383,1027226,Himself
143,2010,Stanislas 'Kat' Katczinsky
143,2007,Paul Bäumer
143,2009,Himmelstoss
143,2008,Kantorek
143,2011,Franz Kemmerich
143,2012,Leer
143,2013,Peter
47250,34754,John Morgan
47250,29260,Machine Gun 'Butch' Schmidt
47250,29259,Warden James Adams
47250,19406,Kent Marlowe
47250,1507,Anne Marlowe
47250,116260,Pop
47250,98001,Mr. Marlowe
50600,17753,Stephen Ashe
50600,88867,Jan Ashe
50600,11493,Dwight Winthrop
50600,11492,Ace Wilfong
50600,30537,Eddie
50600,29990,Grandma Ashe
50600,1509,Man Shot at in Men's Room (uncredited)
85505,89610,Min Divot
85505,29260,Bill
85505,30558,Nancy Smith
85505,83235,Bella Pringle
85505,131448,Dick Cameron
85505,138219,Groot
85505,99350,Alec
42861,88671,Yancey Cravat
42861,77158,Sabra Cravat
42861,128966,Dixie Lee
42861,129038,Felice Venable
42861,128159,The Kid
42861,1509,Jesse Rickey (as Rosco Ates)
42861,3163,Sol Levy
977,14582,The Boy
977,14583,The Girl (as Reri)
977,14584,The Policeman (as Jean)
977,14585,The Old Warrior
977,14586,The Captain (uncredited)
84295,55278,Skippy Skinner
