movie_id,director_id
52679,2891
82474,14855
79760,94771
631,9076
102384,2000
28966,14643
42565,2891
945878,3452470
83989,129422
83989,8823
85507,143561
173582,32133
53161,32427
104214,72061
65203,145605
83990,2428
84274,97774
80708,93906
108213,1043334
101383,772490
143,2000
47250,29963
50600,84034
85505,29963
42861,21311
977,9076
84295,82800
81847,11435
42816,29962
3019,29595
85504,253544
87306,89632
875,2891
84299,14855
80909,590582
106112,122633
44892,140815
43122,2490
31777,116186
56164,72061
449059,1112330
22649,14855
34463,122633
233638,30165
233644,1030826
233644,1919138
39938,14674
13634,74878
3078,2662
43689,2428
43604,82413
43902,8636
113638,32427
84097,148849
28288,30165
58159,11434
177032,34497
233656,1464502
233656,1464503
28564,32427
43896,8500
52863,97774
120977,42060
43898,37360
19075,232629
19075,49214
43890,94218
43892,95293
12311,72061
67626,5446
197160,96608
233669,1060311
233669,3602
43894,32427
43894,93906
37089,14824
37089,4341
74469,49214
93313,11435
93313,10001
93313,226631
43277,93906
37658,9054
31507,10001
43884,4109
24807,2662
20325,18738
80927,11434
233693,99463
202265,51677
130386,1091311
43881,32427
16515,9049
43278,49214
36652,42060
78734,37362
3598,2662
66473,18738
14675,30008
61647,33064
74130,80727
72640,11434
72640,150003
233708,73256
183187,1166343
130503,33026
77250,8500
22692,14643
42390,82800
118889,76381
1976,10001
10907,4109
10907,67426
62567,39058
34106,2662
43839,37362
60562,108914
47166,5452
235647,4065
235646,84940
112674,83399
25016,32919
25016,11493
42852,10790
995,8500
770,9049
770,14674
770,10790
3084,10001
630,9049
418956,77616
418956,64864
418956,11429
235657,2095200
130204,4109
165917,82171
115109,84034
3083,2662
981,14674
14710,10001
77744,10790
596,8500
43818,93906
12232,68424
12232,71787
12232,71788
223,2636
83360,8636
10895,11426
10895,11429
10895,74565
10895,11427
10895,11432
10895,226599
10895,11434
108222,80570
163882,112994
236799,21506
236795,34751
43819,95293
36495,30249
131770,108914
16442,11435
43266,8500
11462,2636
43705,34740
84087,9054
44399,29595
236820,1095453
29451,49214
11360,11426
11360,74565
11360,11427
11360,11434
11360,5691
11360,226599
43792,82389
43792,95293
51024,64864
236807,21506
236802,31764
43798,2490
131766,108914
15,40
38914,99667
3087,4109
41495,9054
27367,10001
110628,37361
109933,129422
29882,37362
56143,8500
93331,1194101
93333,1010832
93333,1144628
23336,37361
23336,2662
19140,10790
32847,93904
13485,30165
33600,74565
236838,1354027
236838,118221
236836,84641
63617,8636
21735,68424
20640,18738
68440,552028
80616,18738
43516,37362
27854,10790
15855,78845
289,4109
93335,106629
93335,47517
100605,8500
100605,8504
15807,11435
43517,4109
31770,87700
39896,13620
39896,13594
236874,1157557
236865,1038034
45220,11528
74012,81165
48993,84034
33039,89535
17661,30008
13528,14674
52362,14567
84084,37362
1939,834
86120,1027003
86120,10001
101586,1028262
101586,3632
42401,31497
21622,32134
40144,13620
40144,13594
240374,1170239
180505,84940
18770,9054
28580,3146
30177,2746
3309,4109
17641,84034
75888,72061
131764,108914
16559,30252
17645,82171
49011,100131
49011,15378
240400,14773
4174,2636
17889,21506
27686,80570
40164,13620
40164,13594
240390,1311888
150604,14773
32430,30008
34127,87700
42295,37360
205685,221879
887,10001
54568,108914
56135,34740
43471,31497
19049,84034
240417,73256
31206,97774
28907,21506
39853,13620
39853,13594
240410,1887649
240406,1007702
19072,12238
182756,2490
43495,142297
41206,14674
11881,24939
43466,83399
33667,2746
14320,12238
16391,37846
16391,68424
149245,2087
240435,2751824
17487,14875
106825,80570
13850,275022
13850,11434
88768,930633
240429,31764
240423,31064
19490,33064
108994,14860
27437,94880
23383,3359
3090,6593
62000,19606
11016,6593
19542,37846
19542,68424
20482,14227
43443,9049
114471,949860
240452,2349096
29380,69392
17804,82389
72668,13620
72668,13594
240444,1070449
107881,5690
62694,37361
32558,49214
41131,4065
25430,14875
15497,37362
28571,10001
43436,9054
31623,14643
13909,8500
34233,19528
45578,10601
114472,1224754
240466,1095781
140693,100888
25918,19457
31516,13284
31516,13294
43437,77101
83773,100888
240461,2668241
162366,11983
39314,3239
43440,10790
43386,123401
705,10601
24481,14674
11787,33064
599,3146
29993,8636
1092,15378
43388,57142
43388,142297
114498,55141
114498,10092
114498,1146715
242968,2036077
25209,21506
129529,108914
46990,1035425
242964,1160657
162352,5690
25392,20370
32078,2746
488,6593
702,2746
2769,13980
25673,18738
20088,1134936
242980,4065
27629,2662
46852,13594
46852,13620
242975,1022676
179182,5690
98328,70862
16380,11593
46932,112995
46932,47517
288,4065
1810,2746
84214,90522
32499,13980
10910,6593
3109,8500
104989,7506
51406,1065698
65787,80570
27191,8636
68986,13620
68986,13594
242989,31997
179184,11426
51619,12238
90968,84034
32961,8929
632,3146
11426,4065
804,10001
18019,10601
29912,33064
3110,18738
11383,5690
243009,5690
43350,69392
46011,80570
14117,76381
32089,106834
32089,109453
243003,175505
162106,5690
8974,51000
16535,19606
654,2746
34689,10601
2438,24939
173,2087
41503,19606
6620,3146
43349,213471
114499,5690
243023,78157
243023,1319444
17761,14643
16563,13284
205712,224802
243020,1022676
163370,96909
17729,40199
42328,64114
15919,67451
37853,8500
37853,9054
65550,90522
220,2746
39940,86051
381,2636
28575,90522
53879,37362
114500,1146720
167097,63670
13936,4065
33444,930633
243030,1469866
243025,2211948
35580,19457
40633,32134
43318,33062
16520,80570
29592,13980
38171,37361
69605,46712
28000,1744
2897,20412
78331,18907
1712,18738
60234,230786
60234,15389
243045,44624
405,4415
574,2636
243043,224802
243038,1906324
203901,25630
6844,8636
107443,93904
15265,78185
826,12238
40885,86051
28285,8501
43232,14674
114502,1092235
19426,4415
133792,32134
100395,930633
243161,165462
243161,165461
15876,19328
33668,13980
43136,67451
12501,10001
28577,1744
17281,13980
11414,4081
114503,5690
243179,11426
427,5763
11331,14520
106927,930633
47384,5690
17352,86051
56931,21869
665,10001
43103,25630
2576,18738
239,3146
12552,72874
448124,1032502
40423,232669
1940,834
33725,2662
71255,1035385
243183,1964
4952,123401
22013,3632
967,240
23724,90522
284,3146
53939,6603
39219,50567
114506,165461
243196,126462
11656,6648
1941,834
129553,32134
129553,14674
