movie_id,genre_id
52679,7
52679,8
52679,6
52679,18
82474,7
82474,18
79760,18
631,7
631,18
102384,16
102384,3
102384,18
28966,7
28966,1
28966,6
28966,18
42565,7
42565,14
42565,18
945878,7
83989,11
85507,7
173582,7
53161,18
53161,16
53161,7
104214,7
104214,8
104214,18
104214,6
65203,19
65203,18
65203,7
83990,7
84274,7
84274,8
80708,7
80708,18
108213,15
108213,3
108213,19
101383,10
143,7
143,6
47250,14
47250,7
50600,7
50600,18
85505,7
85505,3
42861,7
42861,11
42861,8
977,18
977,7
977,16
84295,7
84295,17
84295,3
81847,6
81847,7
81847,1
42816,7
3019,9
3019,13
3019,7
85504,7
87306,3
87306,7
87306,2
875,7
875,18
875,6
875,14
875,8
84299,18
84299,7
80909,7
106112,15
106112,19
106112,18
44892,3
43122,8
43122,7
31777,7
31777,18
56164,7
56164,6
449059,18
22649,7
22649,18
22649,6
34463,19
34463,15
34463,3
34463,17
233638,19
233638,3
233644,10
39938,7
39938,17
13634,18
13634,7
3078,3
3078,18
43689,3
43689,19
43689,18
43604,11
43902,8
43902,7
43902,18
113638,7
113638,1
113638,16
84097,19
84097,18
28288,3
28288,18
58159,15
58159,17
58159,4
177032,3
177032,19
233656,10
28564,14
28564,7
28564,18
43896,14
43896,7
52863,7
120977,18
120977,7
43898,16
43898,7
43898,6
19075,4
19075,18
19075,3
43890,19
43890,3
43892,3
12311,16
12311,7
12311,8
67626,15
197160,3
233669,10
43894,19
43894,18
37089,7
74469,7
74469,8
93313,7
93313,18
43277,7
43277,19
43277,18
37658,7
37658,8
37658,18
31507,7
31507,18
43884,7
43884,16
43884,6
24807,3
24807,7
24807,18
20325,19
20325,18
20325,3
80927,15
233693,7
233693,8
202265,3
130386,14
130386,7
43881,7
43881,18
43881,19
16515,16
16515,7
16515,17
43278,7
43278,8
36652,7
36652,8
36652,18
78734,7
78734,8
3598,16
3598,4
3598,7
3598,18
66473,19
66473,3
66473,18
14675,3
14675,18
61647,3
61647,7
61647,19
74130,3
74130,18
72640,15
72640,2
72640,17
233708,3
183187,10
130503,14
130503,7
77250,1
77250,16
77250,7
77250,18
22692,7
22692,18
42390,7
118889,7
118889,18
1976,7
1976,18
10907,16
10907,18
10907,8
62567,7
62567,19
62567,18
34106,3
34106,18
43839,19
43839,7
43839,18
60562,3
60562,19
60562,18
47166,15
47166,3
47166,17
235647,7
235646,8
235646,7
112674,3
112674,18
112674,11
25016,3
25016,7
25016,18
42852,7
42852,18
995,11
995,16
770,7
770,6
770,18
3084,7
3084,18
630,16
630,4
630,17
418956,15
418956,3
235657,10
130204,7
130204,8
165917,7
165917,18
115109,7
115109,18
115109,16
3083,3
3083,7
981,3
981,18
14710,11
77744,7
77744,18
596,7
43818,7
43818,18
12232,16
12232,4
12232,18
223,12
223,18
223,2
83360,1
83360,11
83360,16
83360,18
10895,15
10895,17
10895,4
108222,7
108222,18
108222,19
163882,15
163882,4
163882,17
236799,10
236795,7
236795,8
43819,3
43819,19
43819,18
36495,3
131770,3
131770,18
131770,7
16442,6
16442,7
43266,7
11462,12
11462,18
11462,2
43705,7
84087,7
84087,18
44399,7
44399,18
236820,10
236820,6
29451,7
29451,4
11360,15
11360,17
43792,3
43792,19
43792,18
51024,17
51024,15
236807,6
236807,8
236802,8
236802,10
43798,7
43798,8
43798,18
131766,7
131766,6
15,12
15,7
38914,3
38914,4
38914,18
3087,7
3087,19
41495,14
41495,7
27367,7
27367,18
27367,6
110628,7
110628,18
110628,6
109933,3
109933,19
109933,18
29882,16
29882,18
56143,10
56143,6
93331,10
93331,6
93333,10
93333,6
23336,10
23336,6
19140,7
19140,17
32847,18
32847,7
13485,3
13485,7
13485,18
33600,15
33600,3
33600,19
236836,6
63617,16
63617,1
63617,18
21735,6
21735,2
20640,3
20640,18
20640,7
68440,7
68440,2
80616,3
80616,18
43516,7
27854,6
27854,18
27854,8
27854,7
27854,16
15855,9
15855,18
15855,7
289,7
289,18
93335,6
93335,10
100605,8
100605,6
100605,1
15807,1
15807,7
15807,6
15807,16
43517,3
43517,19
43517,18
43517,6
31770,3
31770,19
31770,18
39896,15
39896,3
236865,4
236865,19
45220,7
45220,6
74012,6
74012,18
74012,7
74012,1
74012,16
74012,2
48993,7
48993,17
33039,3
33039,18
17661,7
17661,3
17661,19
13528,2
13528,7
13528,12
13528,14
52362,7
52362,18
84084,7
1939,7
1939,12
86120,6
86120,10
101586,10
101586,6
42401,7
42401,18
42401,6
21622,3
21622,19
21622,18
40144,15
40144,3
180505,7
180505,19
18770,6
18770,7
28580,7
30177,7
3309,14
3309,7
17641,7
17641,17
75888,1
75888,7
75888,6
131764,18
131764,16
16559,7
16559,9
16559,4
17645,7
17645,2
17645,18
49011,10
49011,6
240400,10
4174,2
4174,12
4174,18
17889,19
17889,3
17889,18
27686,3
27686,19
27686,18
40164,15
40164,3
240390,7
240390,8
150604,7
150604,17
150604,11
32430,7
32430,3
34127,19
34127,3
34127,4
42295,2
205685,7
205685,6
887,7
887,18
887,6
54568,7
56135,7
56135,18
56135,16
43471,7
43471,18
19049,7
19049,17
19049,11
240417,10
240417,6
31206,7
31206,19
28907,19
28907,11
28907,18
28907,3
39853,15
39853,3
39853,19
240410,10
240410,16
240406,7
240406,17
19072,3
19072,4
182756,7
182756,18
43495,19
43495,7
41206,7
41206,2
11881,3
11881,7
11881,17
43466,3
43466,18
33667,7
33667,18
14320,7
14320,18
14320,8
16391,7
149245,10
240435,10
17487,7
106825,19
106825,7
13850,17
13850,15
88768,15
88768,3
240429,17
240423,10
19490,3
19490,7
19490,4
19490,18
108994,7
108994,8
108994,18
27437,3
27437,18
23383,7
3090,16
3090,7
3090,11
62000,7
11016,14
11016,2
19542,7
19542,18
20482,14
20482,12
20482,2
43443,7
43443,8
114471,10
240452,10
29380,18
29380,19
17804,3
17804,11
72668,15
72668,3
240444,10
107881,10
62694,7
62694,12
32558,7
32558,18
32558,4
32558,12
41131,7
41131,6
25430,7
15497,6
15497,1
15497,7
28571,7
28571,18
28571,8
43436,18
43436,7
43436,17
31623,1
31623,16
31623,7
31623,6
13909,11
34233,1
34233,16
34233,18
45578,18
45578,7
45578,12
114472,10
140693,10
140693,15
140693,17
140693,3
25918,7
31516,19
31516,3
31516,18
43437,3
43437,19
43437,18
83773,15
83773,3
162366,10
39314,16
39314,4
39314,7
39314,1
39314,13
43440,7
43440,18
43386,16
43386,7
43386,18
705,7
24481,3
24481,18
11787,3
11787,4
599,7
29993,16
29993,18
29993,7
1092,2
1092,12
43388,16
43388,1
43388,18
114498,10
242968,10
25209,19
25209,3
25209,18
25209,11
129529,12
129529,2
129529,6
46990,15
46990,3
46990,17
242964,10
162352,10
25392,13
25392,7
25392,16
32078,2
32078,14
488,18
488,16
702,7
702,2
2769,19
2769,18
2769,3
25673,7
